id	name	net	age	home	industry
53 	George Kaiser	8.8	73	Tulsa  OK	oil &amp; gas  banking
54 	Thomas Frist  Jr.	8.7	77	Nashville  TN	health care
55 	Leonard Lauder	8.4	82	New York  NY	Estee Lauder
55 	Dustin Moskovitz	8.4	31	San Francisco  CA	Facebook
57 	Pierre Omidyar	8	48	Honolulu  HI	eBay
58 	Hank Doug Meijer	7.9	80	Grand Rapids  MI	supermarkets
59 	Edward Johnson  III.	7.8	85	Boston  MA	money management
60 	Micky Arison	7.7	66	Bal Harbour  FL	Carnival Cruises
60 	James Goodnight	7.7	72	Cary  NC	software
60 	Jan Koum	7.7	39	Santa Clara  CA	WhatsApp
63 	Stanley Kroenke	7.6	68	Columbia  MO	sports  real estate
63 	Leslie Wexner	7.6	78	New Albany  OH	retail
65 	Eli Broad	7.4	82	Los Angeles  CA	investments
65 	Harold Hamm	7.4	70	Oklahoma City  OK	oil &amp; gas
65 	Herbert Kohler  Jr.	7.4	76	Kohler  WI	plumbing fixtures
68 	John Malone	7.2	74	Elizabeth  CO	cable television
69 	Ken Griffin	7	47	Chicago  IL	hedgefund
70 	David Geffen	6.9	72	Malibu  CA	entertainment
71 	Stephen Ross	6.7	75	New York  NY	real estate
72 	Charles Schwab	6.4	78	Atherton  CA	discount brokerage
73 	Jeffery Hildebrand	6.3	56	Houston  TX	oil
74 	Ralph Lauren	6.2	76	New York  NY	Ralph Lauren
74 	Gordon Moore	6.2	86	Woodside  CA	Intel
76 	Bruce Halle	6.1	85	Paradise Valley  AZ	tires
76 	Richard LeFrak	6.1	70	New York  NY	real estate
76 	Robert Rowling	6.1	62	Dallas  TX	investments
76 	Dennis Washington	6.1	81	Missoula  MT	construction  mining
80 	David Duffield	6	75	Blackhawk  CA	business software
80 	Travis Kalanick	6	39	San Francisco  CA	Uber Technologies
82 	Carl Cook	5.8	53	Bloomington  IN	medical devices
83 	Ray Lee Hunt	5.7	72	Dallas  TX	oil  real estate
84 	Richard DeVos	5.6	89	Holland  MI	Amway
84 	Shahid Khan	5.6	65	Naples  FL	auto parts
86 	Ted Lerner	5.5	90	Chevy Chase  MD	real estate
86 	Kelcy Warren	5.5	60	Dallas  TX	pipelines
88 	David Green	5.4	74	Oklahoma City  OK	retail
88 	Michael &amp; Marian Ilitch	5.4	86	Bingham Farms  MI	pizza
90 	Charles Johnson	5.3	82	Palm Beach  FL	money management
90 	Pauline MacMillan Keinath	5.3	81	St. Louis  MO	Cargill
90 	Trevor Rees-Jones	5.3	64	Dallas  TX	oil &amp; gas
93 	Bruce Kovner	5.2	70	New York  NY	hedgefund
94 	Dannine Avara	5	51	Houston  TX	pipelines
94 	Leon Black	5	64	New York  NY	private equity
94 	Scott Duncan	5	33	Houston  TX	pipelines
94 	Milane Frantz	5	46	Houston  TX	pipelines
94 	Jerry Jones	5	73	Dallas  TX	Dallas Cowboys
94 	Randal Kirk	5	61	Manalapan  FL	pharmaceuticals
94 	George Lucas	5	71	San Anselmo  CA	Star Wars
94 	Sumner Redstone	5	92	Beverly Hills  CA	Media
94 	John A. Sobrato	5	76	Atherton  CA	real estate
94 	Randa Williams	5	54	Houston  TX	pipelines
94 	Daniel Ziff	5	44	New York  NY	investments
94 	Dirk Ziff	5	51	North Palm Beach  FL	investments
94 	Robert Ziff	5	49	New York  NY	investments
107 	Sam Zell	4.9	74	Chicago  IL	real estate  private equity
108 	Israel Englander	4.8	67	New York  NY	hedgefund
108 	Robert Kraft	4.8	74	Brookline  MA	New England Patriots
108 	Henry Kravis	4.8	71	New York  NY	private equity
108 	Tom Judy Love	4.8	78	Oklahoma City  OK	retail &amp; gas stations
108 	Ira Rennert	4.8	81	New York  NY	investments
108 	George Roberts	4.8	72	Atherton  CA	private equity
